name,channel_id,tags
TWICE JAPAN OFFICIAL YouTube Channel,UCCRb6nYKaT8tzLA8CwDdUtw,"音楽,アイドル,芸能人,韓国,女性"
AKB48,UCxjXU89x6owat9dA8Z-bzdw,"音楽,アイドル,芸能人,女性"
乃木坂46 OFFICIAL YouTube CHANNEL,UCUzpZpX2wRYOk3J8QTFGxDg,"音楽,アイドル,芸能人,女性"
欅坂46 OFFICIAL YouTube CHANNEL,UCmr9bYmymcBmQ1p2tLBRvwg,"音楽,アイドル,芸能人,女性"
Momoiro Clover Z Channel,UC6YNWTm6zuMFsjqd0PO3G-Q,"音楽,アイドル,芸能人,女性"
NMB48,UCnhrIe3jZNmqDEL_zSBXADQ,"音楽,アイドル,芸能人,女性"
モーニング娘。 ’19,UCoKXb95K5h3sME3c9OCBaeA,"音楽,アイドル,芸能人,女性"
日向坂46 OFFICIAL YouTube CHANNEL,UCR0V48DJyWbwEAdxLL5FjxA,"音楽,アイドル,芸能人,女性"
SKE48,UCG-5D9k_fL4FnMeNuraeAtA,"音楽,アイドル,芸能人,女性"
Miyu Takeuchi,UC8RJBf7ftto2R1EKZC3YE0A,"音楽,アイドル,芸能人,女性,歌ってみた"
℃-ute,UCcS2E_TVMSwbN4Q5eH7F_oA,"音楽,アイドル,芸能人,女性"
HKT48,UCPQ0GEWwLaam1lTX9P-CgGA,"音楽,アイドル,芸能人,女性"
アンジュルム,UCDwcZ85zjLKD-3-jqlv1wQQ,"音楽,アイドル,芸能人,女性"
Juice=Juice,UC6FadPgGviUcq6VQ0CEJqdQ,"音楽,アイドル,芸能人,女性"
Berryz工房,UCWBTV02MVmyLqNPWRGDrl6A,"音楽,アイドル,芸能人,女性"
Sayaka Yamamoto,UCLQlkHgD2ltaptlgs20eZ6Q,"音楽,アイドル,芸能人,女性"
鈴木愛理,UCRkCifCbAw0qwu7XzOa9d7w,"音楽,アイドル,芸能人,女性"
エビ中のエビちゃんねる!,UCQ6Br7m6vP61FZvjv4lwR5w,"音楽,アイドル,芸能人,女性"
NGT48,UCIfuY0NRq1szr_6tzFy23NQ,"音楽,アイドル,芸能人,女性"
小倉 唯 YouTube OFFICIAL CHANNEL,UCw6Y7niyneaJezhnkBSOqkQ,"音楽,アイドル,芸能人,女性"
フェアリーズ,UCQSWhzO_0ij0GrN7VaZbXcA,"音楽,アイドル,芸能人,女性"
＝LOVE（イコールラブ）公式チャンネル,UCv7VutirxDn3RWIJXI68n_A,"音楽,アイドル,芸能人,女性"
Buono!,UCQuNrURlzPsbJZD17icx7Gw,"音楽,アイドル,芸能人,女性"
ZOC,UCShhCnBdAL5nYpKrbL9JOTA,"音楽,アイドル,芸能人,女性"
こぶしファクトリー,UCt3f_Tu1lNua1xLQZu2Td-w,"音楽,アイドル,芸能人,女性"
KissBee チャンネル,UC5GqigDlifXby0ANB8dgT1g,"音楽,アイドル,踊ってみた,芸能人,女性,アーティスト"
